Num Police Reqs,Num Non-Police Reqs,Proportion Police Requests
182,605,0.008276489313324238
41,159,0.001903082064611957
421,415,0.019311926605504588
141,228,0.006523851385740064
3167,2935,0.13022203947368421
434,418,0.01990551758932257
219,365,0.010068965517241379
107,193,0.004958754286773566
171,124,0.007950160397972942
1076,805,0.04849031095087877
584,357,0.02686045442001656
1,5,4.675081813931744e-05
106,101,0.004933445033975612
107,112,0.004977438712378471
1130,911,0.05068173663437388
242,231,0.011195410806809771
87,163,0.004037497679599034
152,230,0.007032153597039093
178,204,0.00824493955254991
284,276,0.013111121370204514
102,132,0.004740437793372682
496,235,0.022941720629047178
2086,4347,0.08106637649619151
374,492,0.01709557983270101
267,292,0.012317202564930572
163,161,0.007565209319595284
443,307,0.020422275493269408
37,172,0.0017163798302175627
65,160,0.0030169412856811324
274,360,0.012600597838583583
145,143,0.006735414344109996
375,430,0.01719000687600275
177,208,0.008197100912332701
1657,1929,0.07107317491635927
610,324,0.028098945137961216
80,186,0.0037086829539659727
391,422,0.017930022469849132
170,220,0.007868548947003009
306,204,0.014173884848765575
454,625,0.020626987732848705
300,439,0.01374633431085044
111,242,0.005132473297267305
51,143,0.0023690078037904125
236,433,0.01081675680630672
1266,903,0.05680186647523331
43,26159,0.0009044253743900387
128,199,0.005930318754633061
108,212,0.0050006945409084595
472,791,0.021284271284271284
832,796,0.037509580271403456
93,137,0.004321159743518261
205,329,0.009440913696232844
38,144,0.001765061080403177
